time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2025-01-02 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-01-02 09:30:00-05:00,buy,fill,327.0,GLD,stock,,0.0,,244.22000122070312,market,1,0.0
2025-01-06 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-01-06 09:30:00-05:00,sell,fill,327.0,GLD,stock,,0.0,,242.3300018310547,market,1,0.0
2025-01-08 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-01-08 09:30:00-05:00,buy,fill,323.0,GLD,stock,,0.0,,245.72000122070312,market,1,0.0
2025-01-14 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-01-14 09:30:00-05:00,sell,fill,323.0,GLD,stock,,0.0,,245.6199951171875,market,1,0.0
2025-01-15 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-01-15 09:30:00-05:00,buy,fill,320.0,GLD,stock,,0.0,,248.2100067138672,market,1,0.0
2025-01-21 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-01-21 09:30:00-05:00,sell,fill,320.0,GLD,stock,,0.0,,251.9499969482422,market,1,0.0
2025-01-22 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-01-22 09:30:00-05:00,buy,fill,316.0,GLD,stock,,0.0,,254.2899932861328,market,1,0.0
2025-01-28 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-01-28 09:30:00-05:00,sell,fill,316.0,GLD,stock,,0.0,,254.22999572753906,market,1,0.0
2025-01-29 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-01-29 09:30:00-05:00,buy,fill,315.0,GLD,stock,,0.0,,254.5500030517578,market,1,0.0
2025-01-30 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-01-30 09:30:00-05:00,sell,fill,315.0,GLD,stock,,0.0,,257.20001220703125,market,1,0.0
2025-01-31 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-01-31 09:30:00-05:00,buy,fill,312.0,GLD,stock,,0.0,,259.0799865722656,market,1,0.0
2025-02-18 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-02-18 09:30:00-05:00,sell,fill,312.0,GLD,stock,,0.0,,269.67999267578125,market,1,0.0
2025-02-19 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-02-19 09:30:00-05:00,buy,fill,309.0,GLD,stock,,0.0,,270.67999267578125,market,1,0.0
2025-02-25 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-02-25 09:30:00-05:00,buy,fill,61.0,GLD,stock,,0.0,,271.4599914550781,market,1,0.0
2025-02-26 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-02-26 09:30:00-05:00,sell,fill,370.0,GLD,stock,,0.0,,267.0799865722656,market,1,0.0
2025-03-04 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-03-04 09:30:00-05:00,buy,fill,307.0,GLD,stock,,0.0,,269.010009765625,market,1,0.0
2025-03-07 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-03-07 09:30:00-05:00,sell,fill,307.0,GLD,stock,,0.0,,269.0899963378906,market,1,0.0
2025-03-12 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-03-12 10:30:00-04:00,buy,fill,307.0,GLD,stock,,0.0,,268.4700012207031,market,1,0.0
2025-03-24 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-03-24 10:30:00-04:00,sell,fill,307.0,GLD,stock,,0.0,,278.9100036621094,market,1,0.0
2025-03-26 10:30:00-04:00,buy,new,,GLD,stock,,0.0,,,market,1,
2025-03-26 10:30:00-04:00,buy,fill,305.0,GLD,stock,,0.0,,278.92999267578125,market,1,0.0
2025-03-27 10:30:00-04:00,sell,new,,GLD,stock,,0.0,,,market,1,
2025-03-27 10:30:00-04:00,sell,fill,305.0,GLD,stock,,0.0,,280.54998779296875,market,1,0.0
